attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor
no,continous number of plots,NA,NA,dimensionless,integer,numeric,NA
plot,individual plot ID,NA,individual plot ID,NA,NA,character,NA
brickRatio,ratio of bricks within the total substrate,NA,NA,percent,integer,numeric,NA
compaction,Is the soil compacted?,NA,NA,NA,NA,factor,Control/Compaction
coal,Is activated charcoal added?,NA,NA,NA,NA,factor,Control/Coal
biomass,harvested biomass of at the end of the experiment,NA,NA,gram,real,numeric,NA
specPres,number of species which were sown and germinated,NA,NA,dimensionless,integer,numeric,NA
specAbs,number of species which were sown but did not germinate,NA,NA,dimensionless,integer,numeric,NA
conf.low,dummy variable for confidence interval,NA,NA,dimensionless,integer,numeric,NA
conf.high,dummy variable for confidence interval,NA,NA,dimensionless,integer,numeric,NA
estRate,specPres / (specPres + specAbs),NA,NA,dimensionless,real,numeric,NA
