grainSize,substrate,ratio,grainSizeCum,substrateAbb
0.002,substrate_7,9.2,9.2,30%_bricks_Acid
0.063,substrate_7,24.7,33.9,30%_bricks_Acid
0.2,substrate_7,6.9,40.8,30%_bricks_Acid
0.63,substrate_7,15.1,55.9,30%_bricks_Acid
2,substrate_7,3.6,59.5,30%_bricks_Acid
4,substrate_7,4.4,63.9,30%_bricks_Acid
8,substrate_7,4.8,68.7,30%_bricks_Acid
16,substrate_7,26.5,95.2,30%_bricks_Acid
25,substrate_7,4.8,100,30%_bricks_Acid
31.5,substrate_7,0,100,30%_bricks_Acid
0.002,substrate_8,14.4,14.4,5%_bricks_Acid
0.063,substrate_8,39.3,53.699999999999996,5%_bricks_Acid
0.2,substrate_8,9.1,62.8,5%_bricks_Acid
0.63,substrate_8,17.4,80.19999999999999,5%_bricks_Acid
2,substrate_8,5.8,86,5%_bricks_Acid
4,substrate_8,5.3,91.3,5%_bricks_Acid
8,substrate_8,1.9,93.19999999999999,5%_bricks_Acid
16,substrate_8,5.3,98.5,5%_bricks_Acid
25,substrate_8,1.5,100,5%_bricks_Acid
31.5,substrate_8,0,100,5%_bricks_Acid
0.002,substrate_9,10.2,10.2,30%_bricks_Control
0.063,substrate_9,25.8,36,30%_bricks_Control
0.2,substrate_9,7.5,43.5,30%_bricks_Control
0.63,substrate_9,20.4,63.9,30%_bricks_Control
2,substrate_9,4.7,68.6,30%_bricks_Control
4,substrate_9,4.8,73.4,30%_bricks_Control
8,substrate_9,5.3,78.7,30%_bricks_Control
16,substrate_9,16.2,94.89999999999999,30%_bricks_Control
25,substrate_9,5.1,100,30%_bricks_Control
31.5,substrate_9,0,100,30%_bricks_Control
0.002,substrate_10,13.4,13.4,5%_bricks_Control
0.063,substrate_10,35.8,49.199999999999996,5%_bricks_Control
0.2,substrate_10,10.2,59.4,5%_bricks_Control
0.63,substrate_10,23.6,83,5%_bricks_Control
2,substrate_10,5.7,88.7,5%_bricks_Control
4,substrate_10,5.2,93.9,5%_bricks_Control
8,substrate_10,3,96.9,5%_bricks_Control
16,substrate_10,2.1,99,5%_bricks_Control
25,substrate_10,1,100,5%_bricks_Control
31.5,substrate_10,0,100,5%_bricks_Control
