;term;statistic;df;p.value
1;(Intercept);457,399,670,748,585;1;1.77E-87
2;brickRatio;282,803,696,580,987;1;0,0926315230281127
3;acid;0,260649542496966;1;0,609674261254032
4;f.watering;320,065,777,776,467;3;0,36171026336912
5;seedmix;163,200,811,087,159;3;0,652154168341717
6;brickRatio:acid;882,621,382,540,224;1;0,00296933815383843
7;brickRatio:f.watering;710,958,200,904,744;3;0,0684858368662735
8;brickRatio:seedmix;315,688,708,218,598;3;0,368063044986074
9;f.watering:seedmix;256,983,587,159,701;9;0,00228840824132085
10;acid:seedmix;201,381,077,236,509;3;0,569545181059199
11;brickRatio:acid:seedmix;121,550,807,993,995;3;0,00687036666008823
